time, angle1, vel1, acc1
5355,37.62, 0.02, -7739.56
10374,37.71, 0.05, 5.23
15374,37.79, 0.07, 4.76
20375,37.79, 0.06, -1.26
25380,37.79, 0.06, -1.15
30378,38.14, 0.16, 21.30
35388,38.67, 0.32, 30.52
40383,39.20, 0.46, 27.77
45388,39.81, 0.61, 30.82
50391,40.43, 0.75, 28.02
55396,41.13, 0.90, 31.05
60401,41.75, 1.02, 22.63
65406,42.89, 1.29, 54.09
70405,43.86, 1.48, 38.01
75415,44.91, 1.68, 40.09
80414,46.05, 1.89, 42.11
85423,47.29, 2.11, 43.79
90418,48.60, 2.34, 45.53
95415,50.01, 2.57, 46.94
100415,51.59, 2.84, 53.80
105425,52.91, 3.00, 32.11
110425,54.58, 3.26, 51.60
115434,56.25, 3.49, 46.79
120443,57.92, 3.71, 42.80
125445,59.59, 3.90, 38.71
130436,61.44, 4.13, 46.43
135440,63.37, 4.37, 47.79
140442,65.21, 4.56, 37.81
145443,67.15, 4.76, 40.01
150447,68.82, 4.86, 19.53
155449,70.93, 5.09, 45.77
160453,73.04, 5.29, 41.65
165453,75.06, 5.46, 32.18
170460,77.08, 5.60, 29.20
175463,79.19, 5.76, 32.19
180467,81.21, 5.88, 23.65
185472,83.41, 6.04, 32.62
190473,85.52, 6.17, 24.19
195475,87.63, 6.27, 21.87
200478,90.00, 6.46, 36.81
205485,92.02, 6.51, 10.88
210482,94.39, 6.67, 32.42
215491,96.50, 6.74, 12.63
220492,98.79, 6.85, 22.72
225494,101.07, 6.95, 20.58
230498,103.54, 7.10, 29.93
235496,105.91, 7.21, 21.73
240504,108.46, 7.37, 30.71
245507,110.83, 7.45, 16.83
250512,113.47, 7.61, 32.02
255514,116.02, 7.73, 23.65
260520,118.65, 7.86, 27.06
265520,121.38, 8.01, 30.11
270523,124.10, 8.15, 27.44
275525,127.00, 8.33, 36.12
280532,129.81, 8.47, 27.22
285534,132.98, 8.70, 47.12
290548,136.14, 8.92, 42.49
295544,139.39, 9.14, 44.76
300542,142.73, 9.37, 46.25
305554,146.43, 9.69, 63.89
310551,150.12, 9.98, 58.51
315555,153.72, 10.22, 47.51
320555,157.76, 10.58, 71.24
325559,161.89, 10.93, 70.20
330567,166.03, 11.25, 63.63
335565,170.60, 11.68, 86.07
340576,174.99, 12.01, 66.58
345574,179.74, 12.43, 83.49
350579,184.57, 12.83, 81.28
355588,189.49, 13.23, 79.00
360579,194.68, 13.68, 89.44
365586,199.51, 13.97, 58.47
370589,204.87, 14.40, 86.48
375602,209.88, 14.69, 56.90
380602,215.07, 15.00, 63.12
385592,220.25, 15.29, 56.95
390600,225.35, 15.51, 45.89
395598,230.54, 15.75, 47.52
400607,235.28, 15.83, 14.89
405608,240.29, 15.98, 30.70
410615,244.95, 16.01, 5.50
415618,249.70, 16.06, 10.47
420624,254.18, 16.03, -7.06
425616,258.75, 16.02, -0.55
430625,263.14, 15.96, -12.42
435627,267.36, 15.85, -22.12
440631,271.76, 15.81, -8.88
445629,275.89, 15.68, -24.54
450635,280.28, 15.65, -5.95
455637,284.33, 15.51, -27.64
460642,288.72, 15.50, -2.84
465646,293.12, 15.49, -2.53
470650,297.42, 15.45, -8.00
475651,301.90, 15.47, 3.90
480650,306.56, 15.54, 15.06
485659,311.57, 15.72, 35.35
490659,316.58, 15.88, 32.71
495666,321.94, 16.14, 51.85
500667,327.48, 16.43, 58.43
505668,333.54, 16.87, 86.67
510672,339.87, 17.34, 95.32
515673,346.46, 17.86, 103.79
520679,353.50, 18.47, 121.82
525684,0.53, 19.03, 111.25
530685,8.17, 19.73, 139.92
535687,15.56, 20.28, 110.36
540691,23.64, 21.00, 144.98
545696,31.20, 21.50, 98.35
550703,38.85, 21.97, 94.72
555711,46.41, 22.37, 80.35
560707,53.61, 22.63, 52.03
565713,60.73, 22.84, 40.71
570717,67.50, 22.91, 14.51
575721,73.74, 22.81, -19.66
580718,79.89, 22.69, -23.53
585731,85.78, 22.50, -38.97
590727,91.58, 22.30, -39.80
595725,97.21, 22.06, -47.82
600730,102.74, 21.81, -49.31
605749,108.11, 21.53, -57.03
610741,113.55, 21.31, -44.45
615741,119.18, 21.16, -29.63
620747,124.45, 20.91, -49.89
625749,130.34, 20.88, -5.73
630765,136.23, 20.85, -6.42
635757,142.65, 21.00, 29.74
640765,149.15, 21.15, 31.83
645764,156.09, 21.44, 57.74
650760,163.39, 21.81, 73.60
655760,171.21, 22.31, 100.38
660768,179.12, 22.80, 96.87
665772,187.56, 23.41, 121.48
670770,196.00, 23.96, 110.97
675773,204.43, 24.46, 100.60
680782,213.13, 25.00, 107.46
685780,221.57, 25.41, 81.97
690783,229.57, 25.64, 46.21
695784,237.57, 25.85, 42.03
700791,245.13, 25.90, 10.18
705793,252.51, 25.89, -1.63
710791,259.54, 25.78, -23.74
715795,266.40, 25.61, -33.12
720799,273.16, 25.43, -35.50
725805,279.49, 25.13, -60.59
730811,286.00, 24.91, -43.63
735807,292.41, 24.69, -44.78
740813,299.09, 24.56, -24.68
745812,305.86, 24.48, -16.40
750818,312.89, 24.49, 1.49
755822,320.54, 24.69, 40.53
760829,328.45, 24.96, 53.24
765834,337.24, 25.48, 104.74
770830,346.38, 26.07, 117.76
775838,356.31, 26.85, 156.62
780840,6.59, 27.68, 165.18
785843,17.40, 28.60, 183.98
790846,28.39, 29.49, 178.01
795845,39.38, 30.30, 162.10
800853,49.57, 30.78, 96.26
805852,58.45, 30.81, 4.97
810861,67.68, 30.94, 25.84
815872,76.03, 30.77, -32.92
820870,84.11, 30.55, -44.89
825873,91.49, 30.11, -86.48
830885,98.96, 29.75, -73.37
835876,106.26, 29.36, -76.56
840880,113.12, 28.87, -98.00
845889,120.59, 28.62, -50.80
850889,127.97, 28.36, -51.13
855887,135.88, 28.30, -12.57
860896,144.23, 28.38, 15.56
865895,152.75, 28.51, 26.27
870896,162.25, 28.94, 85.01
875899,171.91, 29.38, 88.56
880905,182.29, 30.00, 124.63
885916,193.01, 30.68, 134.84
890908,204.17, 31.44, 152.56
895910,215.16, 32.07, 126.49
900920,225.44, 32.42, 69.25
905926,235.81, 32.77, 70.83
910932,245.21, 32.79, 3.16
915918,254.36, 32.71, -14.96
920923,262.71, 32.39, -63.99
925927,271.23, 32.15, -47.58
930925,279.32, 31.80, -70.38
935936,286.96, 31.34, -92.85
940936,295.05, 31.06, -55.78
945940,303.31, 30.86, -39.87
950944,311.92, 30.79, -13.79
955948,321.24, 30.95, 32.26
960947,331.44, 31.38, 85.18
965947,342.16, 31.93, 111.04
970954,353.76, 32.72, 156.76
975956,6.15, 33.68, 192.60
980956,18.72, 34.61, 186.35
985960,31.73, 35.60, 196.94
990963,44.12, 36.30, 139.82
995970,55.99, 36.77, 94.18
1000974,66.97, 36.92, 29.62
1005975,76.82, 36.69, -45.16
1010978,86.31, 36.37, -63.93
1015978,94.83, 35.77, -119.17
1020982,103.54, 35.29, -97.43
1025986,111.62, 34.65, -127.45
1030987,119.97, 34.15, -99.56
1035993,128.58, 33.78, -73.88
1040995,137.55, 33.56, -44.33
1045999,147.13, 33.56, -1.08
1051004,156.97, 33.63, 14.79
1056003,168.05, 34.09, 92.76
1061010,179.38, 34.59, 100.07
1066013,191.34, 35.25, 131.28
1071015,203.38, 35.87, 124.24
1076018,215.24, 36.38, 101.47
1081036,227.11, 36.83, 90.67
1086028,237.92, 36.93, 18.88
1091031,248.47, 36.92, -0.67
1096046,258.22, 36.66, -53.29
1101037,267.19, 36.18, -95.00
1106038,276.15, 35.74, -88.19
1111040,284.50, 35.14, -119.31
1116048,293.12, 34.68, -92.28
1121053,301.82, 34.29, -77.71
1126054,310.96, 34.08, -42.83
1131066,320.45, 33.99, -17.22
1136065,331.00, 34.26, 52.87
1141064,342.33, 34.75, 97.57
1146068,354.55, 35.47, 144.70
1151069,7.56, 36.38, 182.22
1156067,21.01, 37.35, 193.26
1161078,34.19, 38.14, 157.75
1166082,46.93, 38.72, 117.59
1171090,58.80, 38.98, 50.88
1176082,69.79, 38.92, -10.73
1181080,79.72, 38.54, -76.34
1186094,89.21, 38.05, -98.20
1191090,98.17, 37.44, -121.52
1196093,107.14, 36.89, -111.04
1201094,115.22, 36.10, -156.88
1206098,123.84, 35.56, -109.04
1211104,132.71, 35.15, -82.49
1216101,142.21, 34.97, -35.48
1221110,152.14, 34.95, -4.72
1226106,162.69, 35.12, 35.32
1231110,174.20, 35.59, 92.78
1236116,185.80, 36.04, 90.34
1241125,198.11, 36.67, 126.00
1246121,210.50, 37.28, 121.72
1251128,222.36, 37.65, 75.52
1256133,233.79, 37.86, 41.15
1261133,244.25, 37.74, -23.36
1266140,254.27, 37.49, -49.70
1271138,264.11, 37.21, -56.20
1276139,272.72, 36.57, -129.30
1281146,281.60, 36.06, -101.18
1286150,290.04, 35.46, -119.88
1291150,298.83, 35.03, -85.67
1296155,307.62, 34.64, -78.61
1301159,317.46, 34.62, -4.45
1306162,327.83, 34.77, 29.59
1311165,338.55, 35.01, 49.11
1316168,350.95, 35.77, 150.92
1321173,3.25, 36.43, 131.90
1326173,16.79, 37.42, 197.89
1331175,30.06, 38.23, 162.60
1336180,43.15, 38.91, 136.66
1341186,55.20, 39.20, 57.79
1346190,66.71, 39.29, 18.46
1351186,77.17, 39.05, -48.83
1356194,86.57, 38.48, -113.26
1361197,95.54, 37.83, -129.66
1366197,104.15, 37.13, -139.93
1371206,112.68, 36.46, -134.64
1376211,121.11, 35.83, -126.81
1381211,130.08, 35.42, -81.25
1386217,139.22, 35.10, -63.46
1391220,149.15, 35.07, -7.16
1396223,159.43, 35.15, 16.35
1401234,170.77, 35.55, 80.20
1406226,182.29, 35.98, 86.42
1411229,194.77, 36.68, 138.95
1416232,206.54, 37.08, 81.37
1421240,218.94, 37.65, 112.66
1426237,230.62, 37.94, 58.69
1431253,241.35, 37.89, -9.73
1436254,251.63, 37.72, -34.48
1441263,261.21, 37.34, -76.13
1446254,270.35, 36.85, -97.94
1451254,278.88, 36.21, -128.03
1456260,287.75, 35.74, -94.30
1461260,296.28, 35.20, -107.91
1466262,305.16, 34.82, -75.54
1471264,314.30, 34.56, -52.28
1476272,324.49, 34.66, 19.50
1481271,335.13, 34.89, 45.91
1486278,347.08, 35.51, 125.16
1491278,359.74, 36.31, 158.94
1496282,12.92, 37.20, 177.67
1501288,26.37, 38.08, 177.96
1506286,39.29, 38.73, 129.08
1511295,51.77, 39.17, 88.15
1516294,63.37, 39.30, 25.57
1521301,74.18, 39.16, -28.17
1526303,83.67, 38.61, -108.93
1531308,92.90, 38.03, -115.80
1536311,101.43, 37.29, -149.70
1541314,110.21, 36.69, -119.69
1546320,118.48, 35.98, -142.34
1551318,127.18, 35.47, -100.93
1556318,136.58, 35.24, -47.09
1561317,145.81, 34.97, -53.72
1566331,156.09, 35.05, 16.64
1571337,166.99, 35.33, 55.38
1576336,178.68, 35.83, 100.76
1581339,190.55, 36.34, 102.63
1586339,202.85, 36.95, 121.01
1591342,214.89, 37.42, 93.18
1596348,226.76, 37.78, 73.83
1601342,237.83, 37.87, 17.12
1606352,248.38, 37.78, -18.92
1611360,257.78, 37.33, -89.94
1616356,267.28, 36.95, -74.54
1621364,276.06, 36.38, -113.58
1626369,284.77, 35.84, -109.55
1631364,293.47, 35.35, -97.79
1636366,302.17, 34.90, -89.45
1641377,311.48, 34.68, -43.71
1646374,320.98, 34.55, -26.55
1651379,331.70, 34.81, 53.06
1656376,342.86, 35.20, 76.92
1661387,355.34, 35.96, 152.17
1666387,8.17, 36.77, 162.37
1671386,21.88, 37.79, 202.72
1676385,34.72, 38.43, 128.19
1681394,47.81, 39.09, 133.21
1686395,59.94, 39.39, 59.92
1691394,70.31, 39.11, -57.09
1696409,80.68, 38.84, -53.32
1701412,89.74, 38.19, -129.54
1706405,98.61, 37.54, -130.65
1711408,107.14, 36.84, -140.81
1716412,115.66, 36.19, -128.17
1721412,124.19, 35.61, -116.10
1726416,133.24, 35.25, -72.41
1731426,142.91, 35.12, -27.14
1736426,152.84, 35.08, -7.27
1741430,163.39, 35.24, 32.63
1746438,174.64, 35.61, 73.97
1751432,186.59, 36.18, 112.82
1756436,198.72, 36.74, 112.54
1761445,211.11, 37.34, 119.37
1766444,222.80, 37.66, 64.06
1771452,234.40, 37.92, 52.27
1776449,245.21, 37.91, -2.21
1781453,255.15, 37.62, -58.15
1786460,264.55, 37.18, -86.51
1791459,273.34, 36.60, -117.46
1796461,282.13, 36.06, -106.80
1801466,290.57, 35.46, -119.69
1806466,299.44, 35.06, -80.48
1811469,308.32, 34.69, -73.56
1816481,318.08, 34.64, -11.39
1821478,328.18, 34.70, 12.62
1826476,339.70, 35.21, 101.34
1831486,351.65, 35.80, 119.04
1836491,4.48, 36.62, 164.45
1841488,17.93, 37.57, 188.90
1846494,31.38, 38.43, 171.30
1851501,44.12, 38.98, 110.59
1856498,56.34, 39.32, 68.30
1861500,67.50, 39.29, -5.49
1866510,77.78, 38.99, -61.43
1871508,87.45, 38.52, -93.81
1876519,96.15, 37.77, -148.53
1881515,105.12, 37.19, -116.17
1886518,113.47, 36.46, -145.73
1891528,122.08, 35.88, -116.58
1896526,131.13, 35.50, -76.77
1901537,140.19, 35.14, -70.70
1906546,150.12, 35.10, -8.53
1911536,160.75, 35.30, 39.38
1916540,172.00, 35.66, 73.34
1921540,183.87, 36.19, 105.66
1926552,196.17, 36.81, 122.48
1931555,208.30, 37.32, 102.39
1936553,220.34, 37.75, 87.35
1941555,231.94, 38.01, 50.50
1946556,242.75, 37.99, -3.68
1951568,252.95, 37.77, -43.69
1956563,262.44, 37.36, -82.75
1961578,271.58, 36.86, -99.99
1966581,280.46, 36.33, -104.59
1971572,289.16, 35.80, -107.46
1976576,297.51, 35.19, -120.43
1981577,306.65, 34.90, -58.82
1986580,316.05, 34.72, -36.83
1991586,326.25, 34.80, 16.66
1996590,337.32, 35.15, 70.60
2001591,349.37, 35.79, 126.68
2006596,1.67, 36.44, 131.32
2011594,15.38, 37.49, 209.25
2016599,29.00, 38.41, 184.36
2021595,42.01, 39.05, 128.30
2026598,54.49, 39.47, 83.18
2031600,65.57, 39.40, -13.61
2036607,76.03, 39.14, -52.03
2041607,85.69, 38.65, -97.43
2046613,94.92, 38.07, -116.37
2051615,103.97, 37.49, -116.90
2056617,112.59, 36.81, -134.09
2061620,120.76, 36.06, -150.35
2066622,129.38, 35.52, -108.51
2071631,138.78, 35.28, -48.78
2076624,148.45, 35.15, -26.04
2081634,158.99, 35.30, 30.26
2086632,170.07, 35.61, 62.56
2091636,181.85, 36.12, 101.03
2096638,193.80, 36.63, 102.89
2101642,206.54, 37.35, 143.55
2106646,218.41, 37.73, 75.47
2111645,230.01, 37.98, 51.41
2116652,241.35, 38.13, 29.72
2121654,251.28, 37.82, -62.20
2126659,261.04, 37.48, -68.00
2131654,270.09, 36.95, -105.40
2136670,278.88, 36.38, -115.12
2141666,287.31, 35.76, -124.27
2146665,296.19, 35.33, -85.79
2151675,305.24, 34.99, -67.86
2156674,314.91, 34.88, -21.31
2161677,324.49, 34.75, -25.33
2166692,335.30, 35.02, 53.63
2171685,347.52, 35.73, 140.72
2176691,359.74, 36.36, 127.03
2181690,13.36, 37.39, 205.02
2186696,26.63, 38.20, 162.83
2191696,39.99, 38.97, 154.64
2196700,52.47, 39.40, 84.43
2201703,63.98, 39.47, 15.32
2206707,74.53, 39.24, -47.10
2211716,84.46, 38.82, -82.77
2216712,93.34, 38.12, -141.18
2221718,102.39, 37.53, -118.36
2226719,110.74, 36.77, -150.20
2231732,119.36, 36.16, -123.51
2236721,127.97, 35.61, -109.84
2241719,137.37, 35.36, -49.34
2246728,147.30, 35.30, -12.49
2251730,157.41, 35.30, 0.59
2256735,168.75, 35.69, 78.33
2261737,180.53, 36.19, 99.83
2266737,192.48, 36.70, 101.74
2271744,204.87, 37.30, 119.92
2276740,217.18, 37.82, 104.51
2281750,228.60, 38.01, 37.78
2286750,240.12, 38.21, 40.48
2291758,250.22, 37.95, -52.44
2296760,259.89, 37.57, -75.73
2301760,269.21, 37.12, -90.66
2306765,278.09, 36.56, -111.12
2311767,286.61, 35.95, -123.22
2316768,295.22, 35.42, -106.26
2321776,304.19, 35.04, -74.57
2326777,313.42, 34.79, -50.78
2331781,323.53, 34.84, 9.95
2336782,334.25, 35.08, 48.27
2341786,346.03, 35.63, 110.30
2346792,358.42, 36.33, 139.61
2351794,12.13, 37.39, 210.85
2356801,25.58, 38.26, 174.46
2361798,38.41, 38.86, 120.08
2366804,51.15, 39.37, 103.33
2371802,62.84, 39.51, 26.86
2376807,73.48, 39.29, -42.87
2381814,83.06, 38.76, -106.39
2386825,92.29, 38.17, -118.81
2391820,100.99, 37.47, -140.57
2396821,109.78, 36.85, -122.32
2401836,118.30, 36.21, -129.61
2406832,127.18, 35.74, -93.30
2411837,136.14, 35.34, -80.55
2416846,145.63, 35.14, -39.98
2421843,155.83, 35.19, 9.62
2426841,166.82, 35.48, 58.75
2431861,178.51, 35.96, 95.76
2436853,190.46, 36.49, 106.80
2441851,202.94, 37.14, 130.23
2446860,214.89, 37.56, 83.81
2451867,227.02, 38.00, 87.23
2456862,237.83, 37.98, -3.25
2461868,248.47, 37.91, -15.37
2466877,258.49, 37.64, -53.20
2471881,267.54, 37.09, -108.88
2476882,276.42, 36.54, -110.27
2481881,284.94, 35.93, -122.28
2486891,293.91, 35.51, -84.81
2491897,302.52, 35.02, -97.58
2496886,311.92, 34.83, -37.63
2501892,321.77, 34.79, -7.93
2506897,332.23, 34.95, 31.89
2511903,343.56, 35.38, 84.86
2516900,356.04, 36.13, 150.35
2521904,8.96, 36.95, 164.14
2526908,22.59, 37.92, 193.73
2531907,36.30, 38.83, 182.01
2536906,48.87, 39.29, 93.56
2541912,60.56, 39.43, 27.90
2546913,71.19, 39.23, -40.94
2551923,81.30, 38.87, -71.47
2556923,90.53, 38.27, -120.07
2561926,99.49, 37.64, -126.48
2566930,108.02, 36.93, -142.52
2571934,116.46, 36.25, -135.37
2576937,125.07, 35.69, -112.05
2581942,134.12, 35.32, -73.80
2586939,143.88, 35.21, -21.63
2591947,153.90, 35.19, -3.95
2596952,164.53, 35.37, 36.04
2601946,176.13, 35.85, 94.41
2606953,188.26, 36.44, 118.71
2611958,200.48, 37.01, 113.52
2616963,212.96, 37.61, 120.52
2621958,224.91, 37.99, 76.57
2626968,236.16, 38.11, 23.41
2631969,246.80, 38.02, -16.98
2636969,256.99, 37.81, -43.08
2641976,265.96, 37.22, -118.28
2646976,274.92, 36.68, -106.67
2651982,283.45, 36.06, -125.67
2656984,292.15, 35.54, -102.53
2661983,300.85, 35.08, -92.83
2666996,310.25, 34.87, -41.37
2671993,319.83, 34.75, -24.41
2676994,330.21, 34.89, 27.71
2682000,341.98, 35.45, 113.14
2687000,353.85, 36.00, 110.03
2692006,7.03, 36.92, 182.60
2697015,20.30, 37.78, 171.71
2702012,33.84, 38.65, 174.43
2707013,46.58, 39.18, 107.24
2712017,58.89, 39.53, 69.91
2717019,69.79, 39.40, -26.71
2722021,79.72, 38.98, -84.46
2727021,89.03, 38.39, -116.68
2732029,98.17, 37.81, -117.81
2737025,106.61, 37.05, -150.56
2742039,115.40, 36.47, -116.39
2747038,123.93, 35.87, -120.98
2752051,132.54, 35.34, -105.60
2757052,142.38, 35.26, -15.34
2762048,152.05, 35.13, -27.17
2767052,163.04, 35.42, 59.35
2772050,174.11, 35.72, 60.18
2777060,186.15, 36.30, 115.40
2782057,198.72, 37.00, 139.29
2787060,210.85, 37.48, 97.64
2792064,222.54, 37.79, 61.27
2797064,234.23, 38.07, 56.38
2802076,244.69, 37.93, -28.34
2807071,254.97, 37.75, -35.55
2812078,264.90, 37.48, -55.35
2817077,273.78, 36.89, -117.06
2822077,282.39, 36.27, -123.31
2827084,290.65, 35.60, -134.38
2832089,299.53, 35.18, -83.80
2837089,308.41, 34.81, -75.03
2842088,318.43, 34.83, 3.66
2847101,328.45, 34.84, 2.69
2852099,339.79, 35.28, 87.22
2857100,351.74, 35.87, 118.69
2862107,4.83, 36.77, 179.33
2867107,18.19, 37.67, 180.41
2872107,31.64, 38.52, 170.01
2877114,44.91, 39.23, 142.40
2882119,56.78, 39.43, 40.37
2887119,68.20, 39.48, 9.36
2892118,78.40, 39.13, -69.55
2897128,87.80, 38.56, -114.63
2902126,96.59, 37.85, -142.17
2907130,105.38, 37.20, -129.77
2912134,113.99, 36.55, -129.05
2917139,122.70, 35.99, -112.09
2922146,131.57, 35.54, -90.74
2927149,141.06, 35.33, -42.76
2932154,150.73, 35.18, -29.09
2937152,161.54, 35.42, 48.07
2942155,173.14, 35.89, 93.21
2947160,185.01, 36.39, 100.92
2952161,197.23, 36.97, 115.17
2957161,209.62, 37.55, 115.75
2962171,221.75, 37.98, 86.51
2967168,233.00, 38.11, 25.60
2972171,243.90, 38.11, -0.04
2977180,254.27, 37.93, -34.66
2982185,264.02, 37.58, -70.18
2987179,272.72, 36.94, -129.33
2992181,281.25, 36.29, -129.58
2997193,289.95, 35.75, -107.80